"","Region","SpeciesGroup","Estimate","Std. Error","z value","Pr(>|z|)","intercept.Estimate","intercept.Std. Error","intercept.z value","intercept.Pr(>|z|)","n"
"1","Kootenay Region","COTO", 0.07583550,0.04853582, 1.5624643,0.1181786383,-3.473531e+00, 8.228221e-01,-4.221485e+00, 2.426981e-05,236
"2","Kootenay Region","EPFU", 0.02347537,0.06240131, 0.3761999,0.7067682946,-4.504990e-01, 1.020580e+00,-4.414149e-01, 6.589127e-01,217
"3","Kootenay Region","LACI", 0.53983242,0.30114954, 1.7925726,0.0730412921,-3.669609e+00, 1.111357e+00,-3.301916e+00, 9.602680e-04,237
"4","Kootenay Region","LANO", 0.04591611,0.05794421, 0.7924193,0.4281162364,-1.287714e+00, 1.674599e+00,-7.689686e-01, 4.419120e-01,228
"5","Kootenay Region","MYCA",-0.02429414,0.04656410,-0.5217354,0.6018545667, 9.953469e-01, 8.321337e-01, 1.196138e+00, 2.316426e-01,228
"6","Kootenay Region","MYEV",-0.01647712,0.04855082,-0.3393787,0.7343244654,-4.994215e-01, 7.024428e-01,-7.109783e-01, 4.770977e-01,212
"7","Kootenay Region","MYLU", 0.07363260,0.04448553, 1.6552035,0.0978832233,-2.077949e-01, 6.745720e-01,-3.080397e-01, 7.580522e-01,228
"8","Kootenay Region","MYVO",-0.04329096,0.04368045,-0.9910833,0.3216449206,-2.470911e-01, 6.752337e-01,-3.659342e-01, 7.144142e-01,228
"9","Kootenay Region","MYYU",-0.09463579,0.07750154,-1.2210827,0.2220547093,-1.668671e+00, 1.253354e+00,-1.331365e+00, 1.830689e-01,212
"10","Northern Region","LACI", 1.04743421,0.60608290, 1.7282029,0.0839518576,-2.320577e+00, 2.042148e+00,-1.136341e+00, 2.558137e-01,163
"11","Northern Region","MYLU",-0.06867481,0.05216968,-1.3163740,0.1880485605, 4.085693e+00, 8.047945e-01, 5.076691e+00, 3.840654e-07,179
"12","Northern Region","MYSE", 0.16338058,0.09147451, 1.7860776,0.0740866996,-3.672413e+00, 2.486522e+00,-1.476928e+00, 1.396951e-01,166
"13","Northern Region","MYVO",-0.03682413,0.06096695,-0.6040016,0.5458425960, 2.797349e+00, 9.495494e-01, 2.945976e+00, 3.219377e-03,168
"14","Okanagan Region","COTO", 0.13106919,0.07155380, 1.8317572,0.0669876056,-4.552271e+00, 1.067068e+00,-4.266150e+00, 1.988750e-05,190
"15","Okanagan Region","EPFU", 0.07925543,0.07323283, 1.0822391,0.2791463011,-5.016690e-01, 1.042628e+00,-4.811580e-01, 6.304042e-01,168
"16","Okanagan Region","EUMA", 0.16280818,0.08745835, 1.8615511,0.0626663930,-9.462778e-01, 1.181877e+00,-8.006569e-01, 4.233303e-01,204
"17","Okanagan Region","LACI",-0.28426023,0.32311989,-0.8797361,0.3790022923,-4.958797e-01, 1.128607e+00,-4.393732e-01, 6.603912e-01,192
"18","Okanagan Region","LANO", 0.03137111,0.06432004, 0.4877347,0.6257377624,-7.902978e-01, 1.730179e+00,-4.567723e-01, 6.478347e-01,179
"19","Okanagan Region","MYCA", 0.07777316,0.05906470, 1.3167452,0.1879240540,-3.927863e-01, 9.829730e-01,-3.995901e-01, 6.894585e-01,179
"20","Okanagan Region","MYCI", 0.08074248,0.06513566, 1.2396049,0.2151215761, 1.224968e+00, 1.226894e+00, 9.984294e-01, 3.180712e-01,171
"21","Okanagan Region","MYEV", 0.02745444,0.06448622, 0.4257412,0.6702964406, 4.142791e-01, 1.111987e+00, 3.725573e-01, 7.094779e-01,164
"22","Okanagan Region","MYLU", 0.04204316,0.06049820, 0.6949490,0.4870872366, 1.106812e+00, 1.098279e+00, 1.007769e+00, 3.135653e-01,179
"23","Okanagan Region","MYTH",-0.08562288,0.06604107,-1.2965095,0.1948000029,-2.777806e+00, 9.132949e-01,-3.041521e+00, 2.353861e-03,185
"24","Okanagan Region","MYVO", 0.10564084,0.06905577, 1.5297902,0.1260686690,-1.246055e+00, 1.165622e+00,-1.069004e+00, 2.850679e-01,179
"25","Okanagan Region","MYYU",-0.09822913,0.08172136,-1.2020007,0.2293632531, 1.248272e+00, 1.727802e+00, 7.224623e-01, 4.700103e-01,164
"26","South Coastal Region","COTO", 0.19527659,0.05769843, 3.3844351,0.0007132487,-4.554040e+00, 9.546740e-01,-4.770257e+00, 1.839909e-06,328
"27","South Coastal Region","EPFU", 0.21155872,0.06478909, 3.2653450,0.0010933081,-4.731126e+00, 1.507206e+00,-3.139004e+00, 1.695230e-03,252
"28","South Coastal Region","LACI",-0.59896934,0.29776875,-2.0115252,0.0442700104,-8.156321e-01, 1.010260e+00,-8.073485e-01, 4.194657e-01,326
"29","South Coastal Region","LANO", 0.07731702,0.05590089, 1.3831091,0.1666314192,-4.067042e-01, 2.095819e+00,-1.940550e-01, 8.461328e-01,271
"30","South Coastal Region","MYCA", 0.08664146,0.04029083, 2.1504013,0.0315234847, 2.725931e-01, 6.902645e-01, 3.949111e-01, 6.929085e-01,271
"31","South Coastal Region","MYEV", 0.07847049,0.05088569, 1.5420933,0.1230509197,-1.576405e+00, 9.107251e-01,-1.730934e+00, 8.346357e-02,249
"32","South Coastal Region","MYLU", 0.08099759,0.04578170, 1.7692133,0.0768582909,-1.563052e+00, 8.855626e-01,-1.765038e+00, 7.755737e-02,271
"33","South Coastal Region","MYVO", 0.06786155,0.04186943, 1.6207899,0.1050626970,-5.311132e-01, 7.344676e-01,-7.231267e-01, 4.696020e-01,271
"34","South Coastal Region","MYYU", 0.22803598,0.05999508, 3.8009117,0.0001441647,-1.783757e+00, 9.091855e-01,-1.961929e+00, 4.977078e-02,249
